state,year,month,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Kentucky,2022,9,20.1175,6.8,34.3,8.811805555555555,0.0,20.2,69.8625,26,100
Kentucky,2022,10,13.229032258064516,1.1,25.6,10.678897849462366,1.6,23.7,58.520161290322584,20,100
Kentucky,2022,11,8.50361111111111,-6.6,23.6,10.660277777777777,1.5,29.8,66.41111111111111,15,100
Kentucky,2022,12,3.6405913978494624,-21.5,19.6,11.572983870967741,0.7,29.8,71.51209677419355,24,100
Kentucky,2023,1,5.850672043010753,-4.9,18.5,12.111021505376344,0.5,35.4,77.11155913978494,30,100
Kentucky,2023,2,7.698363095238095,-6.4,23.9,12.62767857142857,0.0,38.8,65.77380952380952,20,100
Kentucky,2023,3,7.923655913978495,-7.7,24.5,12.287903225806453,0.4,40.7,65.63440860215054,29,100
Kentucky,2023,4,13.100138888888889,0.4,28.2,11.66375,0.4,36.4,63.74027777777778,22,100
Kentucky,2023,5,17.536424731182795,4.0,29.5,9.747043010752689,0.5,32.8,67.04032258064517,27,100
Kentucky,2023,6,21.34263888888889,9.7,32.5,8.99625,0.7,27.7,67.1125,17,100
Kentucky,2023,7,25.009139784946235,16.0,36.7,8.61518817204301,0.4,23.5,71.34543010752688,30,100
Kentucky,2023,8,23.79731182795699,12.9,36.8,8.507795698924731,0.4,23.3,73.34274193548387,29,100
Kentucky,2023,9,20.928472222222222,11.7,33.3,7.2972222222222225,0.7,19.2,69.85138888888889,29,100
Kentucky,2023,10,15.276209677419354,1.1,29.1,10.05725806451613,0.0,24.3,68.7741935483871,30,100
Kentucky,2023,11,8.507083333333334,-5.5,25.6,10.051666666666666,1.0,20.2,64.93888888888888,21,100
Kentucky,2023,12,5.976075268817204,-6.0,18.0,10.338172043010752,0.7,25.3,72.76881720430107,23,100
Kentucky,2024,1,0.7599462365591397,-17.6,15.4,11.953629032258064,1.3,33.9,74.875,22,100
Kentucky,2024,2,6.520833333333333,-7.7,21.0,11.88419540229885,1.1,30.8,67.16235632183908,19,100
Kentucky,2024,3,9.856720430107526,-4.2,23.8,11.493682795698923,1.8,28.6,67.10887096774194,28,100
Kentucky,2024,4,14.706666666666665,1.0,27.1,13.026666666666667,0.5,29.3,68.3236111111111,32,100
Kentucky,2024,5,19.526612903225807,9.9,29.0,9.527016129032258,0.4,30.6,77.79435483870968,34,100
Kentucky,2024,6,23.245277777777776,10.9,33.7,8.769027777777778,0.0,20.1,70.77638888888889,30,100
Kentucky,2024,7,24.53037634408602,14.4,34.5,8.004973118279569,0.0,21.8,73.99462365591398,35,100
Kentucky,2024,8,23.581317204301076,11.3,34.9,7.22997311827957,0.5,18.2,70.99327956989248,31,100
Kentucky,2024,9,21.0775,8.7,31.2,8.713055555555554,0.5,36.0,71.25138888888888,25,100
Kentucky,2024,10,15.245295698924732,1.9,28.5,8.725403225806451,0.2,28.7,67.29032258064517,32,100
Kentucky,2024,11,10.990555555555556,-6.0,25.3,14.233611111111113,1.3,33.1,75.6986111111111,33,100
