state,date,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Illinois,2025-12-24,4.427083333333333,0.5,11.3,11.7875,7.0,16.7,84.54166666666667,65,92
Illinois,2025-12-25,9.433333333333334,7.5,11.1,11.379166666666668,5.5,14.9,92.16666666666667,73,100
Indiana,2025-12-22,0.5041666666666667,-2.9,7.3,8.075000000000001,4.9,12.7,62.208333333333336,36,75
Indiana,2025-12-23,9.120833333333334,5.4,14.2,13.416666666666666,7.6,17.6,84.95833333333333,58,98
Indiana,2025-12-24,5.0375,0.3,10.2,7.6625000000000005,5.2,9.8,88.16666666666667,68,99
Indiana,2025-12-25,10.549999999999999,8.4,12.1,10.408333333333333,8.3,18.5,92.95833333333333,81,100
Iowa,2025-12-22,3.1125000000000003,0.3,9.1,18.2375,14.2,23.0,55.5,44,82
Iowa,2025-12-23,3.2083333333333335,0.9,5.6,12.095833333333333,5.3,17.0,84.875,69,93
Iowa,2025-12-24,1.3791666666666667,-0.4,4.4,11.585416666666667,1.0,16.2,89.66666666666667,83,97
Iowa,2025-12-25,2.7291666666666665,1.7,4.8,10.9625,2.0,15.4,96.20833333333333,94,99
Kansas,2025-12-22,8.545833333333333,3.8,16.3,21.5,12.1,32.9,59.041666666666664,41,80
Kansas,2025-12-23,9.816666666666666,4.2,17.1,9.612499999999999,1.1,16.9,72.5,53,88
Kansas,2025-12-24,11.485416666666666,9.4,16.8,11.483333333333334,7.8,18.9,88.1875,49,100
Kansas,2025-12-25,9.545833333333333,3.9,20.0,9.791666666666666,1.0,20.9,90.16666666666667,60,100
Kentucky,2025-12-22,2.6791666666666667,-2.8,13.4,11.066666666666668,8.3,14.9,50.291666666666664,18,71
Kentucky,2025-12-23,12.8375,9.6,16.9,24.045833333333334,14.1,31.3,74.58333333333333,55,91
Kentucky,2025-12-24,13.579166666666666,11.6,16.7,9.691666666666666,4.6,16.2,94.22916666666667,77,100
Kentucky,2025-12-25,15.8375,13.3,18.5,16.920833333333334,6.7,26.3,94.45833333333333,84,99
Louisiana,2025-12-22,18.75,15.0,24.2,8.391666666666667,2.5,13.7,86.66666666666667,70,99
Louisiana,2025-12-23,19.537499999999998,14.7,25.5,8.725,2.8,12.0,86.20833333333333,56,100
Louisiana,2025-12-24,17.979166666666668,12.9,25.3,6.179166666666667,2.4,10.4,85.29166666666667,54,100
Louisiana,2025-12-25,18.183333333333334,14.4,23.7,8.995833333333334,4.7,12.7,89.41666666666667,63,100
Maine,2025-12-22,-6.145833333333333,-8.4,-3.0,16.854166666666668,7.5,22.2,47.333333333333336,34,55
Maine,2025-12-23,-6.029166666666666,-8.6,-2.6,4.6000000000000005,1.5,10.6,56.291666666666664,49,68
