state,year,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Kentucky,2023,14.450296803652968,-7.7,36.8,10.179280821917809,0.0,40.7,69.0068493150685,17,100
Kentucky,2024,14.574385245901638,-17.6,34.9,10.791188524590165,0.0,47.3,71.49965846994536,19,100
Kentucky,2025,13.634629242212926,-18.0,35.0,12.974912831241282,0.0,51.1,73.60204556020456,18,100
Louisiana,2020,12.715705128205128,0.9,21.7,11.624038461538461,3.6,23.3,77.13141025641026,36,100
Louisiana,2021,19.69744292237443,-9.9,37.0,9.982579908675799,0.0,36.1,77.3554794520548,21,100
Louisiana,2022,19.85607305936073,-9.1,38.4,10.036632420091324,0.4,42.8,70.9005707762557,22,100
Louisiana,2023,21.393675799086758,-0.5,40.8,9.949052511415525,0.0,41.1,68.76940639269407,18,100
Louisiana,2024,20.820947176684882,-8.9,38.7,10.066165755919855,0.0,36.9,72.04815573770492,10,100
Louisiana,2025,20.418468154346815,-9.6,38.0,9.659315434681544,0.0,39.2,72.977219897722,18,100
Maine,2020,0.3275641025641025,-7.5,13.6,15.558333333333334,5.4,33.9,69.21794871794872,31,100
Maine,2021,8.506735159817351,-19.5,33.9,10.761472602739726,0.0,38.0,73.23721461187215,15,100
Maine,2022,8.282214611872146,-26.8,34.0,11.392157534246575,0.0,43.6,72.31723744292238,21,100
Maine,2023,8.397260273972602,-29.6,32.5,10.408036529680365,0.0,41.8,77.04212328767123,18,100
Maine,2024,8.635200364298726,-16.3,35.0,10.45233378870674,0.0,40.2,74.09312386156648,16,100
Maine,2025,7.875220827522082,-23.4,36.5,11.09255578800558,0.0,41.4,70.99000464900047,21,100
Maryland,2020,2.0256410256410255,-6.2,14.9,13.349358974358974,2.9,26.9,64.00641025641026,33,100
Maryland,2021,14.068230593607305,-8.7,35.3,10.526244292237442,0.0,34.2,69.91826484018264,19,100
Maryland,2022,13.418036529680366,-13.8,36.1,11.029817351598172,0.0,37.9,69.33926940639269,16,100
Maryland,2023,14.325034246575342,-9.2,37.0,10.47763698630137,0.0,34.5,69.36472602739725,16,100
Maryland,2024,14.33358378870674,-11.9,36.6,10.696732695810566,0.0,38.5,70.24886156648452,22,100
Maryland,2025,13.596257554625755,-13.7,38.0,11.244241050674106,0.0,44.1,68.66073919107392,21,100
Massachusetts,2020,1.255128205128205,-5.7,14.8,15.325,4.0,33.8,67.6826923076923,21,100
Massachusetts,2021,10.788196347031963,-16.0,36.7,11.67722602739726,0.0,38.0,72.02522831050229,13,100
Massachusetts,2022,10.879429223744292,-19.0,36.8,12.141917808219178,0.0,41.5,67.90970319634704,8,100
Massachusetts,2023,11.004897260273973,-24.7,33.6,11.099474885844748,0.4,36.9,73.47454337899543,10,100
Massachusetts,2024,10.807274590163935,-14.8,34.5,11.428779599271403,0.0,40.4,71.52060564663023,16,100
Massachusetts,2025,10.225348675034867,-18.8,35.5,12.345641562064156,0.0,42.8,70.5795560204556,21,100
Michigan,2020,-2.669551282051282,-9.1,3.5,15.825641025641026,3.1,27.0,70.75961538461539,38,94
Michigan,2021,10.146575342465754,-25.0,33.7,13.635228310502283,0.0,49.2,69.85171232876712,15,100
Michigan,2022,9.249691780821918,-22.9,36.7,14.607728310502283,0.0,47.9,67.01609589041095,14,100
Michigan,2023,9.971050228310501,-23.1,33.2,13.094691780821918,0.0,46.4,70.39611872146119,12,100
Michigan,2024,10.742941712204008,-23.5,35.1,13.482092440801457,0.4,42.3,69.97540983606558,22,100
Michigan,2025,9.213435611343561,-21.0,34.3,13.778748256624826,0.2,45.1,70.76005346350534,25,100
Minnesota,2020,-10.01826923076923,-21.6,-2.8,10.467307692307694,2.9,20.4,81.375,53,98
Minnesota,2021,7.975114155251141,-34.1,36.7,12.049520547945205,0.0,40.3,67.5115296803653,17,100
Minnesota,2022,5.851621004566209,-32.3,34.1,13.190285388127853,0.0,40.4,68.81381278538812,16,100
Minnesota,2023,7.989554794520548,-28.4,35.8,11.996175799086759,0.0,34.9,70.53504566210046,15,100
Minnesota,2024,8.392634335154826,-24.6,32.7,12.732934881602915,0.0,42.8,69.12556921675774,16,100
Minnesota,2025,6.938226406322641,-30.8,33.9,14.164934913993491,0.0,42.9,71.42143189214319,12,100
